Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20240725|A|251670|643|503488|B,Q,N
20240725|AA|1084817|2914|1990883|B,Q,N
20240725|AAA|6|0|12317|Q
20240725|AAAU|711663|2414|1650196|B,Q,N
20240725|AACG|937|0|5365|Q
20240725|AACI|2062|0|11399|Q
20240725|AACT|3216|0|3659|Q
20240725|AADI|11641|0|32587|B,Q
20240725|AADR|17|0|27|Q
20240725|AAGR|102609|6598|246085|Q,N
20240725|AAL|15640512|347456|35668525|B,Q,N
20240725|AAMC|458|0|1866|Q
20240725|AAME|456|0|2385|Q
20240725|AAN|159429|0|322840|Q,N
20240725|AAOI|317326|115|734964|B,Q,N
20240725|AAON|77186|11|264182|B,Q,N
20240725|AAP|234986|1402|799846|B,Q,N
20240725|AAPB|6400|11|43788|B,Q,N
20240725|AAPD|136700|0|226280|B,Q,N
20240725|AAPL|5872907|130034|17764795|B,Q,N
20240725|AAPR|311|0|21809|Q
20240725|AAPU|76789|2049|327446|Q,N
20240725|AAPX|3562|0|15781|Q,N
20240725|AAPY|576|0|1109|Q
20240725|AAT|15843|0|40950|Q,N
20240725|AAXJ|36223|0|156242|Q,N
20240725|AB|62797|175|178727|Q,N
20240725|ABAT|84868|1880|235105|Q,N
20240725|ABBV|2202737|21705|3771484|B,Q,N
20240725|ABCB|33802|4|171966|Q,N
20240725|ABCL|306071|900|645055|Q,N
20240725|ABCS|600|0|1200|Q
20240725|ABEO|53697|280|187974|Q,N
20240725|ABEQ|316|0|4877|Q
20240725|ABEV|3117502|10963|6814212|B,Q,N
20240725|ABG|15411|0|29045|Q,N
20240725|ABIO|53171|9277|86625|Q,N
20240725|ABL|5900|0|28450|Q
20240725|ABLLL|1325|0|1366|Q
20240725|ABLLW|9742|0|20850|Q
20240725|ABLV|986|0|1276|Q
20240725|ABM|93046|37|138114|B,Q,N
20240725|ABNB|1181889|1291|2574682|B,Q,N
20240725|ABNY|1133|0|2171|B,Q,N
20240725|ABOS|68492|199|108785|Q,N
20240725|ABR|543615|4748|1119911|B,Q,N
20240725|ABRpD|5125|0|25356|B,Q,N
20240725|ABRpE|3211|0|5884|Q,N
20240725|ABRpF|3081|0|5504|B,Q
20240725|ABSI|96078|3601|274820|B,Q,N
20240725|ABT|928844|7249|2295003|B,Q,N
20240725|ABTS|2506|0|7683|Q
20240725|ABUS|136299|0|273883|Q,N
20240725|ABVC|31233|342|55071|Q,N
20240725|ABVE|162735|5519|282293|B,Q,N
20240725|ABVEW|4000|0|13300|Q
20240725|ABVX|6953|0|19437|Q,N
20240725|AC|707|0|1641|Q
20240725|ACA|25039|28|43143|B,Q,N
20240725|ACAD|337850|200|680735|Q,N
20240725|ACB|189190|4166|317210|Q,N
20240725|ACCD|128749|625|259146|B,Q,N
20240725|ACCO|31215|21|186160|Q,N
20240725|ACDC|298112|752|625405|B,Q,N
20240725|ACEL|15670|0|44615|Q,N
20240725|ACES|2026|50|12133|Q,N
