Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20230609|A|246765|1036|570333|B,Q,N
20230609|AA|571638|5340|1221358|B,Q,N
20230609|AAA|19|0|34|Q
20230609|AAAU|362521|0|660087|B,Q,N
20230609|AAC|8092|0|9510|Q,N
20230609|AACG|5740|0|20061|Q,N
20230609|AACIU|122|0|250|Q
20230609|AAC/WS|1500|0|3801|Q,N
20230609|AADI|10049|0|20648|Q,N
20230609|AAIC|36837|0|80989|B,Q
20230609|AAICpC|74|48|279|Q
20230609|AAIN|600|0|717|Q
20230609|AAL|4915730|53663|9713227|B,Q,N
20230609|AAMC|2619|0|7893|B,Q,N
20230609|AAME|107|0|212|Q
20230609|AAMpA|2550|333|3770|Q
20230609|AAMpB|160|0|1589|Q
20230609|AAN|42177|0|84753|Q,N
20230609|AAOI|177448|4483|334415|B,Q,N
20230609|AAON|134075|0|195508|Q,N
20230609|AAP|471822|2855|1267219|B,Q,N
20230609|AAPB|338|0|2274|Q,N
20230609|AAPD|29719|17|60749|B,Q,N
20230609|AAPL|8554616|63730|19131760|B,Q,N
20230609|AAPU|16911|6|65033|B,Q,N
20230609|AAT|22954|52|70880|B,Q,N
20230609|AAU|45266|0|101063|Q,N
20230609|AAXJ|7397|0|33847|Q,N
20230609|AB|17548|92|61203|Q,N
20230609|ABBV|395381|1345|1506076|B,Q,N
20230609|ABC|142992|0|211501|B,Q,N
20230609|ABCB|44254|3386|80836|B,Q,N
20230609|ABCL|617417|13347|1019328|B,Q,N
20230609|ABCM|330140|0|2576036|B,Q,N
20230609|ABEO|61507|5225|238917|B,Q,N
20230609|ABEQ|962|0|1922|Q,N
20230609|ABEV|2775194|4948|4555871|B,Q,N
20230609|ABG|21791|145|27252|B,Q,N
20230609|ABIO|6619|7|11662|Q,N
20230609|ABM|38940|0|96312|B,Q,N
20230609|ABNB|1489139|12070|2809601|B,Q,N
20230609|ABOS|18490|0|68747|B,Q,N
20230609|ABR|488662|3145|805352|Q,N
20230609|ABRpD|1393|0|2761|B,Q,N
20230609|ABRpE|859|0|2783|Q
20230609|ABRpF|1082|0|4396|Q,N
20230609|ABSI|99042|215|209523|Q,N
20230609|ABST|87190|16|206793|Q,N
20230609|ABT|491146|5879|1499716|B,Q,N
20230609|ABUS|100442|0|222009|Q,N
20230609|ABVC|322|0|691|Q,N
20230609|AC|582|0|1715|Q,N
20230609|ACA|16008|1191|23847|B,Q,N
20230609|ACACU|4|0|29|Q,N
20230609|ACAD|105927|1300|212679|B,Q,N
20230609|ACB|1036723|2067|1858644|B,Q,N
20230609|ACCD|73650|165|96772|Q,N
20230609|ACCO|30723|1045|72387|Q,N
20230609|ACDC|85462|15|168958|B,Q,N
20230609|ACEL|7307|0|28746|Q,N
20230609|ACER|17739|0|46006|Q,N
20230609|ACES|4501|0|11034|Q
20230609|ACET|24064|0|259085|Q,N
20230609|ACGL|150008|682|406984|B,Q,N
20230609|ACGLN|1664|722|8661|Q
20230609|ACGLO|3234|38|6958|Q,N
20230609|ACGN|1721|0|7538|Q,N
20230609|ACHC|43635|39|96786|Q,N
20230609|ACHL|13130|0|29211|Q
20230609|ACHR|2264713|293812|3348287|B,Q,N
20230609|ACHR/WS|13692|0|16516|Q,N
20230609|ACHV|20221|182|39916|Q,N
20230609|ACI|100669|562|425236|Q,N
20230609|ACIO|5973|0|12762|Q,N
20230609|ACIU|4069|0|16558|B,Q
20230609|ACIW|86509|0|218507|Q,N
20230609|ACLS|99144|57|155623|B,Q,N
20230609|ACLX|171337|43|270245|B,Q,N
20230609|ACM|96618|795|163677|Q,N
20230609|ACMR|54746|24|118106|B,Q,N
20230609|ACN|347607|2|581525|B,Q,N
20230609|ACNB|2287|0|2890|Q,N
20230609|ACNT|261|0|6234|Q,N
20230609|ACON|261315|2100|622484|B,Q,N
20230609|ACOR|2675|956|6334|Q,N
20230609|ACP|39419|0|104584|Q,N
20230609|ACPpA|146|0|191|Q
20230609|ACR|3327|0|5370|Q,N
20230609|ACRE|55621|0|83544|B,Q,N
20230609|ACRO/WS|10845|0|10845|Q
20230609|ACRpC|1780|0|3011|Q,N
20230609|ACRpD|416|0|5758|Q,N
20230609|ACRS|41130|696|60106|Q,N
20230609|ACRV|2804|0|5640|Q,N
20230609|ACRX|159375|7545|210576|B,Q,N
20230609|ACSI|1|0|2|Q
20230609|ACST|14357|5460|24443|Q,N
20230609|ACT|18354|0|127355|B,Q,N
20230609|ACTG|14843|81|59072|Q,N
20230609|ACTV|4451|0|7734|Q,N
20230609|ACU|311|0|2130|Q
20230609|ACV|5038|29|10545|Q,N
20230609|ACVA|319542|54404|560906|B,Q,N
20230609|ACVF|2662|31|3895|Q,N
20230609|ACWI|1530255|50|1736402|Q,N
20230609|ACWV|28236|0|123856|B,Q
20230609|ACWX|72836|300|436232|Q,N
20230609|ACXP|12466|0|19310|Q,N
20230609|ADAG|928|0|5955|B,Q
20230609|ADAP|210753|2118|640560|B,Q,N
20230609|ADBE|1666124|2373|3276303|B,Q,N
20230609|ADC|40970|126|88136|B,Q,N
20230609|ADCpA|366|0|576|Q,N
20230609|ADCT|74959|1103|150785|B,Q,N
20230609|ADD|34777|2|67234|B,Q,N
20230609|ADEA|28926|108|152606|Q,N
20230609|ADER|3|0|21|Q
20230609|ADES|18589|0|45775|Q,N
20230609|ADFI|5416|0|7269|Q
20230609|ADI|429370|536|887512|B,Q,N
20230609|ADIL|6133|60|104767|Q,N
20230609|ADILW|12500|0|12500|Q
20230609|ADM|227092|5164|500588|B,Q,N
20230609|ADMA|390552|553|790411|B,Q,N
20230609|ADME|222|0|4104|Q
20230609|ADMP|12609|1038|15925|B,Q,N
20230609|ADN|132494|42|360427|Q,N
20230609|ADNT|130573|406|206957|B,Q,N
20230609|ADNWW|6257|32|7557|Q,N
20230609|ADP|142762|20571|305998|B,Q,N
20230609|ADPT|138331|2196|231491|Q,N
20230609|ADRT|1735|0|376689|B,Q,N
20230609|ADRT/U|1|0|1|Q
20230609|ADSE|2442|50|4984|Q
20230609|ADSEW|6781|0|24562|Q
20230609|ADSK|207912|70|419405|B,Q,N
20230609|ADT|169060|382|445119|B,Q,N
20230609|ADTH|16090|0|19916|Q,N
20230609|ADTN|100143|2340|135014|Q,N
20230609|ADTX|12793|15|21520|Q,N
20230609|ADUS|18595|0|57915|Q,N
20230609|ADV|34642|21|164722|Q,N
20230609|ADVM|238647|9999|529194|B,Q,N
20230609|ADX|13618|0|56919|Q,N
20230609|ADXN|3316|0|15772|Q,N
20230609|AE|1401|0|2509|Q,N
20230609|AEE|154562|249|261878|B,Q,N
20230609|AEF|3779|0|6596|Q
20230609|AEFC|3636|0|7273|Q
20230609|AEG|85178|2450|177648|B,Q,N
20230609|AEHL|35211|18|314782|Q,N
20230609|AEHR|151196|1|422016|B,Q,N
20230609|AEI|11683|1|30289|B,Q,N
20230609|AEIS|16518|0|57653|Q,N
20230609|AEL|31030|0|73922|B,Q,N
20230609|AELpA|2587|0|3716|Q,N
20230609|AELpB|895|0|1835|Q,N
20230609|AEM|103773|90|378660|Q,N
20230609|AEMD|31056|348|64209|Q,N
20230609|AEO|590311|1520|904182|B,Q,N
20230609|AEP|285018|3243|1015453|B,Q,N
20230609|AEPPZ|163|0|49016|Q
20230609|AER|72876|303|234719|Q,N
20230609|AES|405416|50|2474681|B,Q,N
20230609|AESC|5|0|56350|Q
20230609|AESI|17115|1|32246|B,Q,N
20230609|AESR|9037|0|11535|Q
20230609|AEVA|103802|204|301522|Q,N
20230609|AEVA/WS|3700|0|3700|N
20230609|AEY|34955|0|111441|Q,N
20230609|AEYE|3085|20|6151|B,Q,N
20230609|AEZS|1015|729|2426|Q,N
20230609|AFB|26169|600|43760|Q,N
20230609|AFCG|42583|78|61875|B,Q,N
20230609|AFG|33901|0|94998|B,Q,N
20230609|AFGB|567|29|2447|Q
20230609|AFGC|1262|0|3767|Q
20230609|AFGD|431|5|1011|Q
20230609|AFGE|444|0|4151|Q,N
20230609|AFIB|4190|0|13548|Q
20230609|AFIF|2|0|21582|Q
20230609|AFK|419|0|1361|B,Q
20230609|AFL|201642|1427|265704|Q,N
20230609|AFLG|500|0|500|Q
20230609|AFMC|300|0|300|Q
20230609|AFMD|433706|246|715183|Q,N
20230609|AFRI|3681|0|15095|Q,N
20230609|AFRIW|6800|0|16640|Q
20230609|AFRM|6919995|156777|14637917|B,Q,N
20230609|AFSM|2|0|2|Q
20230609|AFT|8608|0|28814|Q,N
20230609|AFTR|300|0|300|Q
20230609|AFTY|76|0|926|Q
20230609|AFYA|8834|0|19110|Q,N
20230609|AG|476024|9576|1261328|B,Q,N
20230609|AGAC|1|0|14|Q
20230609|AGAE|1423|0|21194|Q
20230609|AGBA|46154|1046|73040|B,Q,N
20230609|AGCO|96574|0|143574|B,Q,N
20230609|AGD|13086|731|45292|Q,N
20230609|AGE|605|0|4905|Q,N
20230609|AGEN|1690919|53008|8097540|B,Q,N
20230609|AGFY|329398|6100|635471|Q,N
20230609|AGG|3085314|3840|3877969|B,Q,N
20230609|AGGH|1166|0|1367|Q,N
20230609|AGGY|13063|0|50788|Q
20230609|AGI|141491|452|249254|B,Q,N
20230609|AGIL|7333|0|19101|Q,N
