Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20220407|A|165366|3234|498619|Q,N
20220407|AA|1294832|4715|2853909|B,Q,N
20220407|AAA|1|0|701|Q
20220407|AAAU|131822|0|241867|Q,N
20220407|AAC|11|0|1075|Q,N
20220407|AAC/U|800|0|2200|Q
20220407|AACG|5326|0|21928|Q,N
20220407|AACI|200|0|200|N
20220407|AACIW|200|0|200|Q
20220407|AADI|5726|50|13246|B,Q,N
20220407|AADR|1|0|377|Q
20220407|AAIC|8040|2|19531|Q,N
20220407|AAICpB|690|0|1198|Q,N
20220407|AAIN|3|0|3|N
20220407|AAL|11233585|32604|17056377|B,Q,N
20220407|AAMC|140|0|5701|Q,N
20220407|AAME|17209|0|36302|Q,N
20220407|AAMpA|1862|0|4470|B,Q,N
20220407|AAMpB|4396|0|8909|Q
20220407|AAN|43702|0|61961|Q,N
20220407|AAOI|67272|0|105147|Q,N
20220407|AAON|13470|0|24223|Q,N
20220407|AAP|130578|2|181964|B,Q,N
20220407|AAPL|12487064|75262|29489456|B,Q,N
20220407|AAQC|4616|0|1404526|Q,N
20220407|AAQC/WS|1|0|1|N
20220407|AAT|9869|0|44537|Q,N
20220407|AATC|878|0|3747|Q
20220407|AAU|90908|0|263251|Q,N
20220407|AAWW|207325|1|380193|B,Q,N
20220407|AAXJ|88021|33330|173157|Q,N
20220407|AB|46352|0|138999|B,Q,N
20220407|ABB|97468|3148|468370|B,Q,N
20220407|ABBV|1283857|11759|2743168|B,Q,N
20220407|ABC|252482|778|514157|B,Q,N
20220407|ABCB|43324|112|243246|Q,N
20220407|ABCL|166597|0|292391|B,Q,N
20220407|ABCM|13882|0|41188|B,Q,N
20220407|ABEO|588882|13600|1071267|Q,N
20220407|ABEQ|168|0|3326|Q,N
20220407|ABEV|2472713|6686|7807397|B,Q,N
20220407|ABG|91453|95|175842|B,Q,N
20220407|ABIO|19045|0|49297|B,Q,N
20220407|ABM|75640|12|109869|Q,N
20220407|ABMD|11174|0|23762|Q,N
20220407|ABNB|684255|2339|1223214|B,Q,N
20220407|ABOS|27469|0|43708|Q,N
20220407|ABR|436608|1350|896375|Q,N
20220407|ABRpD|3378|0|4660|Q
20220407|ABRpE|6002|3754|7453|Q,N
20220407|ABRpF|900|0|1849|Q
20220407|ABSI|60315|1|79660|Q,N
20220407|ABST|4372|0|10225|Q,N
20220407|ABT|441581|3041|1609422|B,Q,N
20220407|ABTX|5284|100|8905|Q,N
20220407|ABUS|233438|400|418930|B,Q,N
20220407|ABVC|42602|4225|77118|Q,N
20220407|AC|355|0|2634|Q,N
20220407|ACA|44444|0|58392|Q,N
20220407|ACAB|15300|0|15300|Q
20220407|ACABU|2645|0|2645|Q
20220407|ACAD|285153|750|646604|B,Q,N
20220407|ACAH|7212|0|152101|Q
20220407|ACAQ/WS|2200|0|2700|Q
20220407|ACAX|10|0|10|Q
20220407|ACB|1502452|1137|2821332|B,Q,N
20220407|ACC|80009|0|518858|Q,N
20220407|ACCD|35234|4202|84437|B,Q,N
20220407|ACCO|85186|26|189673|Q,N
20220407|ACEL|16950|135|51731|Q,N
20220407|ACER|32796|0|154307|B,Q,N
20220407|ACES|19661|0|115284|Q,N
