Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20230106|A|337373|0|851298|B,Q,N
20230106|AA|917504|5038|1727738|B,Q,N
20230106|AAAU|171386|0|465069|Q,N
20230106|AAC|6513|0|11039|Q,N
20230106|AACG|359|0|774|Q,N
20230106|AACI|3|0|3|Q
20230106|AACIW|100|0|100|N
20230106|AAC/WS|3000|0|83518|Q
20230106|AADI|11204|0|152972|Q,N
20230106|AADR|334|0|345|Q
20230106|AAIC|18467|25|170907|Q,N
20230106|AAICpC|100|0|1923|Q
20230106|AAIN|1|0|1|Q
20230106|AAL|5360513|60822|12121305|B,Q,N
20230106|AAMC|2477|0|5617|Q,N
20230106|AAME|672|71|1098|Q,N
20230106|AAMpA|7657|0|12209|Q,N
20230106|AAMpB|3046|0|4321|Q
20230106|AAN|33542|1336|64040|B,Q,N
20230106|AAOI|48365|0|100038|Q,N
20230106|AAON|40628|0|74870|B,Q,N
20230106|AAP|136317|1339|242589|B,Q,N
20230106|AAPB|2085|0|2478|Q,N
20230106|AAPD|41375|13|156880|B,Q,N
20230106|AAPL|17611218|112033|37882039|B,Q,N
20230106|AAPU|30939|0|54267|B,Q,N
20230106|AAT|11412|0|32234|Q,N
20230106|AAU|12055|0|122101|Q,N
20230106|AAWW|103668|0|114102|Q,N
20230106|AAXJ|55007|0|261639|B,Q,N
20230106|AB|65339|691|127193|Q,N
20230106|ABB|170591|302|255321|Q,N
20230106|ABBV|660716|5986|1545259|B,Q,N
20230106|ABC|164804|2202|313168|B,Q,N
20230106|ABCB|28775|4|46643|Q,N
20230106|ABCL|197133|0|436865|B,Q,N
20230106|ABCM|45538|0|313976|Q,N
20230106|ABEO|30710|0|76373|B,Q,N
20230106|ABEQ|10633|0|10770|Q
20230106|ABEV|1284115|3992|3389883|B,Q,N
20230106|ABG|34962|0|41518|Q,N
20230106|ABGI|101|0|10623|Q
20230106|ABIO|30370|235|68935|B,Q,N
20230106|ABM|49925|1362|90788|Q,N
20230106|ABNB|968731|3589|1615276|B,Q,N
20230106|ABOS|17187|12|29293|Q,N
20230106|ABR|287832|1230|1420729|Q,N
20230106|ABRpD|3637|0|9777|Q,N
20230106|ABRpE|3043|0|6426|Q,N
20230106|ABRpF|1353|0|3899|Q,N
20230106|ABSI|81816|0|108619|Q,N
20230106|ABST|2027|9|9237|Q,N
20230106|ABT|525772|3659|1318012|B,Q,N
20230106|ABUS|108774|9289|1080353|Q,N
20230106|ABVC|327370|10468|905349|B,Q,N
20230106|AC|51|0|284|Q
20230106|ACA|31543|500|82068|Q,N
20230106|ACAD|55404|0|325873|Q,N
20230106|ACAH|905|0|905|Q,N
20230106|ACAHU|108|0|1060|Q
20230106|ACAQ|210|0|210|N
20230106|ACAX|300|0|1100|Q
20230106|ACB|2099890|16320|3667757|B,Q,N
20230106|ACBA|9756|0|13719|B,Q,N
20230106|ACCD|78583|0|140421|Q,N
20230106|ACCO|19351|6|76562|Q,N
20230106|ACDC|106672|86|146121|Q,N
20230106|ACEL|11368|3|29512|Q,N
20230106|ACER|45517|1211|154076|B,Q,N
20230106|ACES|32192|0|44870|Q,N
20230106|ACET|37777|5|65204|Q,N
20230106|ACGL|135456|442|371990|B,Q,N
20230106|ACGLN|7421|0|27524|Q,N
20230106|ACGLO|7196|0|8973|Q,N
20230106|ACHC|33616|100|77333|B,Q,N
20230106|ACHL|414930|6823|1351385|B,Q,N
20230106|ACHR|751291|28212|1169735|B,Q,N
20230106|ACHR/WS|6495|0|15095|Q,N
20230106|ACHV|7842|0|33404|Q,N
20230106|ACI|226448|6281|843163|Q,N
20230106|ACIO|9672|0|23134|Q,N
20230106|ACIU|6074|2116|22668|Q,N
20230106|ACIW|184166|6|628113|Q,N
20230106|ACLS|124538|1334|212521|B,Q,N
20230106|ACLX|107225|311|211791|B,Q,N
20230106|ACM|96012|0|217738|B,Q,N
20230106|ACMR|69772|500|257744|Q,N
20230106|ACN|146426|28|474165|B,Q,N
20230106|ACNB|2242|0|3127|Q,N
20230106|ACNT|4868|0|12210|Q
20230106|ACON|625|100|3157|Q
20230106|ACOR|64504|2032|121472|Q,N
20230106|ACP|20233|0|55671|B,Q,N
20230106|ACPpA|69|0|69|Q
20230106|ACQR|449|0|637614|Q
20230106|ACQRW|1000|0|1600|N
20230106|ACR|1841|0|3612|Q,N
20230106|ACRE|107525|499|196792|B,Q,N
20230106|ACRpC|3378|0|6001|Q,N
20230106|ACRpD|1296|0|2735|Q
20230106|ACRS|34944|0|86398|Q,N
20230106|ACRV|6|0|129|Q
20230106|ACRX|45749|1100|119025|B,Q,N
20230106|ACSI|1|0|1|Q
20230106|ACST|136176|0|421174|Q,N
20230106|ACT|21042|0|26061|Q,N
20230106|ACTG|65143|0|199407|Q,N
20230106|ACTV|2706|0|5182|Q,N
20230106|ACU|1292|0|1887|Q,N
20230106|ACV|8579|0|19150|Q,N
20230106|ACVA|74394|0|146002|B,Q,N
20230106|ACVF|1744|0|1926|Q,N
20230106|ACWF|138|0|186|Q
20230106|ACWI|1118852|0|1733470|Q,N
20230106|ACWV|18980|64|55929|Q,N
20230106|ACWX|298538|0|744157|B,Q,N
20230106|ACXP|6166|1950|8965|Q,N
20230106|ADAG|51169|2068|69695|B,Q,N
20230106|ADAP|106384|3118|349046|B,Q,N
20230106|ADBE|236101|1247|577368|B,Q,N
20230106|ADC|61772|1601|136916|B,Q,N
20230106|ADCpA|973|489|2478|Q,N
20230106|ADCT|88784|16|409136|B,Q,N
20230106|ADD|5585|5|87970|B,Q,N
20230106|ADEA|40130|320|79837|Q,N
20230106|ADERW|2535|35|2535|N
20230106|ADES|6963|26|19101|Q,N
20230106|ADEX|302|102|303|Q
20230106|ADFI|4399|0|7917|Q
20230106|ADI|283998|0|862222|B,Q,N
20230106|ADIL|222398|0|582080|Q,N
20230106|ADIV|40|0|46|Q,N
20230106|ADM|225617|1134|1324781|B,Q,N
20230106|ADMA|143604|0|568581|B,Q,N
20230106|ADME|28|0|1787|Q
20230106|ADMP|406167|0|675205|Q,N
20230106|ADN|63128|1126|127877|Q,N
20230106|ADNT|314403|300|1316997|Q,N
20230106|ADNWW|165|0|4190|Q,N
20230106|ADOC|1|0|1|Q
20230106|ADOCR|101|0|101|Q
20230106|ADP|212730|7316|367470|B,Q,N
20230106|ADPT|137923|0|404604|Q,N
20230106|ADPV|9748|0|19460|Q,N
20230106|ADRA|69|0|2569|Q,N
20230106|ADRA/WS|1200|0|1200|N
20230106|ADRE|50|0|586|Q
20230106|ADRT|336000|0|336002|Q
20230106|ADSE|3098|0|26925|Q,N
20230106|ADSK|122583|1115|302399|B,Q,N
20230106|ADT|285396|936|454980|B,Q,N
20230106|ADTH|7260|0|13543|Q,N
20230106|ADTN|16542|0|89373|Q,N
20230106|ADTX|73110|453|152346|Q,N
20230106|ADUS|7686|23|12082|Q,N
20230106|ADV|23893|0|41219|Q,N
20230106|ADVM|43726|0|89235|Q,N
20230106|ADX|32075|0|118230|B,Q,N
20230106|ADXN|6969|4|33051|Q,N
20230106|AE|752|0|4004|B,Q,N
20230106|AEAEW|600|0|1250|Q
20230106|AEE|317114|6307|403892|B,Q,N
20230106|AEF|14887|0|40302|B,Q,N
20230106|AEFC|18063|0|95388|Q,N
20230106|AEG|47800|2500|137418|B,Q,N
20230106|AEHL|28864|8800|99269|Q,N
20230106|AEHR|2792312|30984|5276427|B,Q,N
20230106|AEI|2587|322|15383|Q,N
20230106|AEIS|20941|0|38557|Q,N
20230106|AEL|33558|0|89080|B,Q,N
20230106|AELpA|6748|0|9934|Q
20230106|AELpB|4486|0|7419|Q,N
20230106|AEM|328398|1650|719143|B,Q,N
20230106|AEMD|720649|24862|1221965|B,Q,N
20230106|AENZ|14943|3615|22424|Q,N
20230106|AEO|487006|2555|888905|B,Q,N
20230106|AEP|306362|920|618526|B,Q,N
20230106|AEPPZ|683|0|1526|Q
20230106|AER|83002|583|191273|Q,N
20230106|AERC|64662|0|122605|B,Q,N
20230106|AES|340393|98|835107|B,Q,N
20230106|AESC|149|0|1005|Q
20230106|AESR|4597|0|7207|Q,N
20230106|AEVA|272497|0|690089|B,Q,N
20230106|AEVA/WS|5727|0|13654|Q,N
20230106|AEY|20591|0|28315|Q,N
20230106|AEYE|605|0|1880|Q
20230106|AEZS|2744|236|3525|Q,N
20230106|AFAR|100|0|1406|Q
20230106|AFB|18442|0|45610|Q,N
20230106|AFBI|1462|0|1476|Q,N
20230106|AFCG|21985|4|69623|Q,N
20230106|AFG|22124|0|71295|Q,N
20230106|AFGB|2865|0|3384|Q
20230106|AFGC|3504|0|5530|Q,N
20230106|AFGD|1563|0|2698|Q,N
20230106|AFGE|330|0|573|Q
20230106|AFIB|24234|6463|169954|Q,N
20230106|AFIF|21313|0|24210|Q
20230106|AFK|233|0|3827|Q,N
20230106|AFL|307452|514|1023328|B,Q,N
20230106|AFMD|403729|2200|1452005|B,Q,N
20230106|AFRI|379|0|2606|Q
20230106|AFRIW|1000|0|2500|Q,N
20230106|AFRM|2513782|51013|5643012|B,Q,N
20230106|AFT|14393|0|31333|B,Q,N
20230106|AFTR|100|0|562610|Q
20230106|AFTY|300|0|472|Q
20230106|AFYA|8100|142|65828|Q,N
20230106|AG|904828|4261|2623755|B,Q,N
20230106|AGAC|11|0|322447|Q
20230106|AGAC/U|4|0|4|Q
20230106|AGAE|18390|8|72896|Q,N
20230106|AGBA|188829|4414|380348|B,Q,N
20230106|AGBAW|300|0|300|Q
20230106|AGCO|100924|65|248836|Q,N
20230106|AGD|2276|0|9956|Q,N
20230106|AGE|4847|0|5756|Q,N
20230106|AGEN|516680|31742|730850|Q,N
20230106|AGFS|2683|0|47537|Q,N
20230106|AGFY|172009|0|316698|B,Q,N
20230106|AGG|1494298|3484|3716198|B,Q,N
20230106|AGGR|100|0|115000|Q
20230106|AGGRU|100|0|100|Q
20230106|AGGY|16739|0|126660|Q,N
20230106|AGI|685346|3200|1234820|B,Q,N
20230106|AGIL|531|0|1787|Q
20230106|AGIO|37222|252|60932|Q,N
20230106|AGL|328464|488|408736|B,Q,N
20230106|AGLE|97996|68|540835|Q,N
20230106|AGM|11740|0|19197|Q,N
20230106|AGMH|6829|0|10236|Q,N
20230106|AGMpD|1501|0|4215|Q,N
20230106|AGMpE|1410|0|1680|Q
20230106|AGMpF|10510|300|14596|Q,N
20230106|AGMpG|7773|0|20835|Q,N
20230106|AGNC|1877841|70417|3588581|B,Q,N
20230106|AGNCL|1565|0|5404|Q,N
20230106|AGNCM|3840|0|7337|B,Q,N
20230106|AGNCN|8451|0|17864|Q,N
20230106|AGNCO|5588|0|9226|Q,N
20230106|AGNCP|5773|0|12482|Q,N
20230106|AGNG|41|0|42|N
20230106|AGO|19409|0|42541|Q,N
20230106|AGOX|1968|0|8522|Q,N
20230106|AGQ|240765|3182|470369|Q,N
20230106|AGR|41982|1|81207|B,Q,N
20230106|AGRH|12|0|12|Q
20230106|AGRI|6862|0|15696|B,Q,N
20230106|AGRO|117167|0|311565|B,Q,N
20230106|AGRX|170624|2946|501875|Q,N
20230106|AGS|5133|0|20245|Q
20230106|AGTI|95536|16|103891|B,Q,N
20230106|AGX|7283|0|22520|Q,N
20230106|AGYS|21278|0|37431|Q,N
20230106|AGZ|9676|1300|17907|Q,N
20230106|AGZD|3104|0|40981|Q,N
20230106|AHCO|50493|0|128175|Q,N
20230106|AHG|1560|0|2974|Q,N
20230106|AHH|18045|0|31413|Q,N
20230106|AHHpA|2631|0|24290|B,Q,N
20230106|AHHX|1196|0|1888|Q
20230106|AHI|3199|0|14877|Q,N
20230106|AHLpC|9781|0|19650|Q,N
20230106|AHLpD|7227|0|12877|Q,N
20230106|AHLpE|6147|0|8692|Q,N
20230106|AHPI|1293|0|3095|Q
20230106|AHT|81758|371|264057|Q,N
20230106|AHTpG|606|0|1498|Q
20230106|AHTpI|1201|0|1206|Q,N
20230106|AHYB|3|1|182|Q
20230106|AI|183571|4912|491733|B,Q,N
20230106|AIA|20534|17|47906|Q,N
20230106|AIC|100|0|100|Q
20230106|AIEQ|589|398|6196|Q,N
20230106|AIF|15990|0|40639|Q,N
20230106|AIG|188391|996|912839|B,Q,N
20230106|AIGpA|20416|0|33396|Q,N
20230106|AIH|494|0|577|Q
20230106|AIHS|16416|6|48963|Q,N
20230106|AIM|55434|0|128636|Q,N
20230106|AIMC|31225|102|91603|Q,N
20230106|AIMD|1800|0|5154|Q,N
20230106|AIMDW|200|0|307|Q
20230106|AIN|8072|0|13920|Q,N
20230106|AINC|1974|0|3155|Q
20230106|AIO|16835|0|51700|Q,N
20230106|AIP|5566|0|67720|Q
20230106|AIQ|9322|0|12360|Q,N
20230106|AIR|34714|800|50417|B,Q,N
20230106|AIRC|58846|300|150495|B,Q,N
20230106|AIRG|451|0|3169|Q
20230106|AIRI|1|0|1163|Q
20230106|AIRR|7806|0|12741|Q,N
20230106|AIRS|174887|0|233268|B,Q,N
20230106|AIRT|103|0|108|Q
20230106|AIRTP|2|0|2|Q
20230106|AIT|16064|0|55640|B,Q,N
20230106|AIU|2214|0|4592|Q,N
20230106|AIV|66341|14|286236|Q,N
20230106|AIVI|55|0|492|Q
20230106|AIVL|300|0|1333|Q
20230106|AIZ|57641|1600|89666|Q,N
20230106|AIZN|4886|0|7081|Q,N
20230106|AJG|86833|0|167039|B,Q,N
20230106|AJRD|91665|61|344359|B,Q,N
20230106|AJX|10094|298|16299|Q,N
20230106|AJXA|266|0|1018|Q
20230106|AKA|3195|0|13641|Q
20230106|AKAM|96754|781|235113|B,Q,N
20230106|AKAN|257078|0|322644|Q,N
20230106|AKBA|691054|24746|1346524|B,Q,N
20230106|AKLI|88391|10471|196670|B,Q,N
20230106|AKO/A|321|0|1965|Q
20230106|AKO/B|144296|0|147166|Q,N
20230106|AKR|71133|400|147216|Q,N
20230106|AKRO|88798|63|160399|B,Q,N
20230106|AKTS|94843|139|172138|B,Q,N
20230106|AKTX|26996|0|49022|Q,N
20230106|AKU|21989|0|22097|Q
20230106|AKYA|41636|0|56051|B,Q,N
20230106|AL|77943|0|163981|Q,N
20230106|ALB|231120|329|581594|B,Q,N
20230106|ALBO|19270|40|29616|Q,N
20230106|ALBT|18031|1887|48824|B,Q,N
20230106|ALC|108497|450|231713|Q,N
20230106|ALCC|100|0|411|Q
20230106|ALCO|16328|0|31932|B,Q,N
20230106|ALDX|56877|0|197987|B,Q,N
20230106|ALE|23779|6|40655|B,Q,N
20230106|ALEC|287521|0|401681|B,Q,N
20230106|ALEX|26227|0|39103|Q,N
20230106|ALG|6556|0|8506|Q,N
20230106|ALGM|153491|0|202178|B,Q,N
20230106|ALGN|107478|952|180732|B,Q,N
20230106|ALGS|1281583|34420|2585374|B,Q,N
20230106|ALGT|34475|620|60690|B,Q,N
20230106|ALHC|152402|0|415221|Q,N
20230106|ALIM|956|0|2460|Q
20230106|ALIT|92646|240|198373|Q,N
20230106|ALK|183227|983|353527|B,Q,N
20230106|ALKS|215483|113|585388|Q,N
20230106|ALKT|19586|0|182058|Q,N
20230106|ALL|167584|100|295650|B,Q,N
20230106|ALLE|71902|0|174480|Q,N
20230106|ALLG|7206|8|13227|Q,N
20230106|ALLK|59316|1358|245556|B,Q,N
20230106|ALLO|96725|0|561625|B,Q,N
20230106|ALLpB|11461|0|24385|Q,N
20230106|ALLpG|26874|0|41993|Q,N
20230106|ALLpH|49207|0|98584|Q,N
20230106|ALLpI|8702|0|12052|Q,N
20230106|ALLR|183661|496|421850|Q,N
20230106|ALLT|6702|0|19926|Q
20230106|ALLY|1264672|1824|1934722|B,Q,N
20230106|ALNY|276728|24|363640|B,Q,N
20230106|ALOT|12|0|1657|Q
20230106|ALpA|4301|0|7073|Q,N
20230106|ALPA|100|0|194|Q
20230106|ALPAW|223|0|22943|Q
20230106|ALPN|18321|0|51242|Q,N
20230106|ALPP|60454|0|155014|Q,N
20230106|ALPS|1024|0|1028|Q
20230106|ALR|70723|442|114326|Q,N
20230106|ALRM|61099|0|81600|Q,N
20230106|ALRN|4710|2|10393|Q,N
20230106|ALRS|1199|0|2496|Q
20230106|ALSN|37246|151|111223|Q,N
20230106|ALT|102951|223|196653|B,Q,N
20230106|ALTG|16281|0|82999|B,Q,N
20230106|ALTGpA|800|0|800|Q
20230106|ALTI|22378|557|45533|Q,N
20230106|ALTL|64243|0|106549|Q,N
20230106|ALTO|73456|24017|206292|Q,N
20230106|ALTR|17122|0|25845|B,Q,N
20230106|ALTU|804|0|2623|Q,N
20230106|ALTUW|586|0|686|N
20230106|ALTY|11658|0|12220|Q,N
20230106|ALV|70771|785|188722|B,Q,N
20230106|ALVO|22512|229|143749|B,Q,N
20230106|ALVOW|472|0|2444|Q
20230106|ALVR|16440|0|32817|Q,N
20230106|ALX|706|0|1358|Q,N
20230106|ALXO|47319|0|116948|Q,N
20230106|ALYA|1750|0|1980|Q
20230106|ALZN|290608|1000|801334|Q,N
20230106|AM|825499|46|1442849|Q,N
20230106|AMAL|11110|0|35010|Q,N
20230106|AMAM|393905|7781|803762|B,Q,N
20230106|AMAOU|100|0|200|Q
20230106|AMAT|805550|9056|1822013|B,Q,N
20230106|AMAX|3381|0|12760|Q,N
20230106|AMBA|97650|64|237183|B,Q,N
20230106|AMBC|53865|0|108591|Q,N
20230106|AMBC/WS|3827|0|5927|Q,N
20230106|AMBO|1000|0|1514|N
20230106|AMBP|315942|0|566763|B,Q,N
20230106|AMBP/WS|1000|0|2050|N
20230106|AMC|4801874|119442|7705418|B,Q,N
20230106|AMCI|153774|0|285597|Q
20230106|AMCR|887659|0|1299112|B,Q,N
20230106|AMCX|33824|732|93064|B,Q,N
20230106|AMD|14767931|140859|37677219|B,Q,N
20230106|AME|135293|2010|263927|B,Q,N
20230106|AMED|71868|0|128360|Q,N
20230106|AMEH|19243|0|31038|Q,N
20230106|AMG|20325|0|50892|B,Q,N
20230106|AMGN|361804|1187|639697|B,Q,N
20230106|AMH|251618|213|427784|Q,N
20230106|AMHpG|10|0|211|Q
20230106|AMHpH|541|0|1295|Q
20230106|AMID|1|0|1|Q
20230106|AMJ|61243|3|97089|Q,N
20230106|AMK|5292|0|12805|Q,N
20230106|AMKR|136525|0|229597|B,Q,N
20230106|AMLP|1071412|14460|1410202|B,Q,N
20230106|AMLX|72707|226|177774|B,Q,N
20230106|AMN|188110|194|255959|B,Q,N
20230106|AMNB|1729|0|5479|Q
20230106|AMOM|50|0|167|Q
20230106|AMOT|6429|0|19958|B,Q,N
20230106|AMOV|14|0|375|Q
20230106|AMP|71603|0|179256|B,Q,N
20230106|AMPE|20775|0|127652|Q,N
20230106|AMPG|2040|0|4596|Q,N
20230106|AMPH|23475|0|41726|Q,N
20230106|AMPL|59632|0|126266|Q,N
20230106|AMPS|93390|0|249456|B,Q,N
20230106|AMPX|38937|14731|48675|B,Q,N
20230106|AMPX/WS|3779|0|5080|Q,N
20230106|AMPY|57632|0|108630|B,Q,N
20230106|AMR|49494|0|81721|B,Q,N
20230106|AMRC|48574|9|174121|B,Q,N
20230106|AMRK|35288|109|112231|B,Q,N
20230106|AMRN|585109|19119|2783028|B,Q,N
20230106|AMRS|2338454|57218|3947069|B,Q,N
20230106|AMRX|111083|0|287891|B,Q,N
20230106|AMS|34|0|524|Q
20230106|AMSC|21484|0|54769|Q,N
20230106|AMSF|6352|0|17965|Q,N
20230106|AMST|10998|0|40401|Q,N
20230106|AMSWA|3122|0|36494|Q,N
20230106|AMT|234850|304|730876|B,Q,N
20230106|AMTB|6230|6|16809|Q,N
20230106|AMTD|1847356|67641|4249336|B,Q,N
20230106|AMTI|113939|12789|154559|Q,N
20230106|AMTX|135613|2262|263242|B,Q,N
20230106|AMUB|175|0|176|Q
20230106|AMV|87581|5520|187763|B,Q,N
20230106|AMWD|13762|9|18764|Q,N
20230106|AMWL|182320|0|327732|Q,N
20230106|AMX|125154|106|248639|B,Q,N
20230106|AMYT|23351|0|41656|Q,N
20230106|AMZA|24413|79|75830|Q,N
20230106|AMZD|13381|0|24125|Q,N
20230106|AMZN|14309160|182221|36740819|B,Q,N
20230106|AMZU|35451|0|167034|B,Q,N
20230106|AN|96008|103|149906|B,Q,N
20230106|ANAB|287966|5755|1323611|B,Q,N
20230106|ANDE|15033|94|40907|Q,N
20230106|ANEB|28|0|655|Q
20230106|ANET|334932|292|698300|B,Q,N
20230106|ANF|356338|0|690191|B,Q,N
20230106|ANGH|2692|100|14286|Q,N
20230106|ANGI|148228|4057|284729|B,Q,N
20230106|ANGL|1193304|39|1516737|B,Q,N
20230106|ANGN|1632|0|2174|Q,N
20230106|ANGO|43781|134|120628|Q,N
20230106|ANIK|3404|0|8124|Q,N
20230106|ANIP|48421|349|97138|B,Q,N
20230106|ANIX|2048|0|10606|Q,N
20230106|ANNX|22300|4|44488|Q,N
20230106|ANPC|4404|3|14160|Q,N
20230106|ANSS|49842|0|89694|B,Q,N
20230106|ANTE|1521|1363|4335|Q,N
20230106|ANTX|4241|0|5998|Q
20230106|ANVS|17699|0|27707|B,Q,N
20230106|ANY|108218|301|323797|Q,N
20230106|AOA|18365|3700|328863|Q,N
20230106|AOD|70860|300|149047|B,Q,N
20230106|AOK|26362|0|378907|Q,N
20230106|AOM|48479|0|518011|Q,N
20230106|AOMR|36146|40|103986|Q,N
20230106|AON|72190|0|157561|B,Q,N
20230106|AOR|16237|0|510890|Q,N
20230106|AORT|12647|0|32157|Q,N
20230106|AOS|84974|8|258402|B,Q,N
20230106|AOSL|18266|0|47879|Q,N
20230106|AOUT|3508|0|11581|B,Q,N
20230106|AP|1762|200|5707|Q,N
20230106|APA|984385|8611|1764374|B,Q,N
20230106|APAC|100001|0|106622|Q
20230106|APACU|15007|0|64137|Q
20230106|APACW|54337|0|233263|Q,N
20230106|APAM|48120|0|178777|B,Q,N
20230106|APCX|10710|3720|46657|Q,N
20230106|APCXW|1000|0|1000|N
20230106|APD|92104|40|192221|Q,N
