Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20230307|A|158048|1068|254568|Q,N
20230307|AA|1098257|8863|2338930|B,Q,N
20230307|AAA|7|0|207|Q
20230307|AAAU|621313|8309|1128026|Q,N
20230307|AAC|9969|101|13748|Q,N
20230307|AACG|77689|6096|169640|B,Q,N
20230307|AACIW|100|0|100|Q
20230307|AAC/WS|700|0|1345|N
20230307|AADI|29531|0|176739|Q,N
20230307|AAIC|8262|235|32545|B,Q,N
20230307|AAICpC|2425|0|2488|Q,N
20230307|AAL|3958529|55873|7372964|B,Q,N
20230307|AAMC|836|0|1413|Q,N
20230307|AAME|427|0|584|Q,N
20230307|AAMpA|11659|0|15196|Q,N
20230307|AAMpB|1348|0|3372|Q,N
20230307|AAN|27636|482|55251|Q,N
20230307|AAOI|4390|22|18628|B,Q,N
20230307|AAON|61605|0|116300|B,Q,N
20230307|AAP|174997|526|375462|B,Q,N
20230307|AAPB|178|0|1551|Q
20230307|AAPD|28074|0|76269|B,Q,N
20230307|AAPL|9202982|102147|22405019|B,Q,N
20230307|AAPU|12634|0|50840|B,Q,N
20230307|AAT|64026|0|359145|B,Q,N
20230307|AAU|47026|498|166347|Q,N
20230307|AAWW|124542|0|246769|Q,N
20230307|AAXJ|38908|0|74436|Q,N
20230307|AB|37648|3852|98052|Q,N
20230307|ABB|56775|244|180031|Q,N
20230307|ABBV|359447|4136|1099005|B,Q,N
20230307|ABC|154431|7|223950|B,Q,N
20230307|ABCB|45184|769|85462|B,Q,N
20230307|ABCL|198350|1138|447775|Q,N
20230307|ABCM|74645|500|246920|Q,N
20230307|ABEO|154956|390|241868|Q,N
20230307|ABEQ|538|0|12667|Q,N
20230307|ABEV|1804204|105379|3591254|B,Q,N
20230307|ABG|45006|720|52693|B,Q,N
20230307|ABIO|1917|6|3644|Q,N
20230307|ABM|44257|86|64318|Q,N
20230307|ABNB|1502526|17676|2579055|B,Q,N
20230307|ABOS|7452|46|17058|Q,N
20230307|ABR|542195|10553|838083|B,Q,N
20230307|ABRpD|6584|0|11923|B,Q,N
20230307|ABRpE|12732|0|13814|Q
20230307|ABRpF|1132|0|6282|Q,N
20230307|ABSI|64361|0|132320|Q,N
20230307|ABST|42833|0|95836|Q,N
20230307|ABT|449943|6171|1514850|B,Q,N
20230307|ABUS|37736|0|217777|B,Q,N
20230307|ABVC|4209|0|21216|Q,N
20230307|AC|247|0|345|Q,N
20230307|ACA|24075|0|57246|Q,N
20230307|ACAB|1|0|1|Q
20230307|ACABW|200|0|300|Q
20230307|ACAD|258464|40|398568|B,Q,N
20230307|ACB|1160737|62327|1965301|B,Q,N
20230307|ACCD|61351|0|121887|Q,N
20230307|ACCO|73305|198|120184|Q,N
20230307|ACDC|28853|469|90571|Q,N
20230307|ACEL|16131|0|46124|Q,N
20230307|ACER|48504|73|93199|Q,N
20230307|ACES|51508|0|62878|Q,N
20230307|ACET|39583|0|74290|Q,N
20230307|ACGL|556687|30|1832468|B,Q,N
20230307|ACGLN|2237|0|7667|Q,N
20230307|ACGLO|864|0|2729|Q
20230307|ACGN|682|0|1297|Q,N
20230307|ACHC|278868|0|435058|Q,N
20230307|ACHL|20270|0|69857|B,Q,N
20230307|ACHR|333121|27032|689150|B,Q,N
20230307|ACHR/WS|16373|0|21773|Q,N
20230307|ACHV|12099|90|20341|Q,N
20230307|ACI|184359|2|1016858|B,Q,N
20230307|ACIO|43558|0|50708|Q,N
20230307|ACIU|1584|0|2652|Q,N
20230307|ACIW|32969|0|75258|Q,N
