Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20240207|A|295340|475|548620|B,Q,N
20240207|AA|809277|8295|2086529|B,Q,N
20240207|AAA|328|0|710|Q
20240207|AAAU|127853|400|671414|Q,N
20240207|AACG|21687|433|36961|Q,N
20240207|AACI|72|0|7542|Q,N
20240207|AACT|14403|0|1103345|Q
20240207|AACT/WS|75400|0|302585|Q
20240207|AADI|8665|0|27932|Q,N
20240207|AADR|21|0|54|Q
20240207|AAGR|27091|3437|61459|Q,N
20240207|AAGRW|3960|0|5846|Q
20240207|AAL|8498075|26396|15505086|B,Q,N
20240207|AAMC|1900|0|3452|Q,N
20240207|AAME|175|5|1152|Q,N
20240207|AAN|9213|1|28298|Q,N
20240207|AAOI|342572|3056|1015971|B,Q,N
20240207|AAON|96948|0|145087|B,Q,N
20240207|AAP|235176|15|366423|B,Q,N
20240207|AAPB|1236|0|10087|Q,N
20240207|AAPD|3291|804|29722|Q,N
20240207|AAPL|7276919|106446|18774437|B,Q,N
20240207|AAPU|22916|320|83350|B,Q,N
20240207|AAPX|1289|0|1344|B,Q
20240207|AAPY|151|0|193|Q,N
20240207|AAT|49409|270|239508|Q,N
20240207|AAU|1029|0|76675|Q,N
20240207|AAXJ|27066|0|55484|Q,N
20240207|AB|210773|60|386811|B,Q,N
20240207|ABAT|99295|813|255262|Q,N
20240207|ABBV|1226498|1399|2028690|B,Q,N
20240207|ABCB|50412|1575|93617|B,Q,N
20240207|ABCL|277180|0|433830|B,Q,N
20240207|ABEO|87476|1996|230353|Q,N
20240207|ABEV|1388709|4373|11271287|B,Q,N
20240207|ABG|32242|0|69482|B,Q,N
20240207|ABIO|6207|0|12587|B,Q
20240207|ABL|9130|0|12509|Q
20240207|ABLLW|4444|0|5194|Q
20240207|ABLV|16035|80|67000|B,Q,N
20240207|ABM|32736|226|49995|B,Q,N
20240207|ABNB|1101273|2466|1574055|B,Q,N
20240207|ABOS|24826|197|77544|Q,N
20240207|ABR|2659133|2804|4060228|B,Q,N
20240207|ABRpD|100|0|4344|Q
20240207|ABRpE|1065|0|2332|Q,N
20240207|ABRpF|4326|0|12116|Q,N
20240207|ABSI|359985|1129|564208|B,Q,N
20240207|ABT|650584|19646|1487274|B,Q,N
20240207|ABTS|6803|2705|12414|Q,N
20240207|ABUS|207913|261|1015089|B,Q,N
20240207|ABVC|18135|0|29522|Q,N
20240207|ABVX|11981|0|38423|Q
20240207|AC|2227|0|2906|Q,N
20240207|ACA|42769|0|53500|Q,N
20240207|ACAD|193901|13|295266|Q,N
20240207|ACB|1636989|46189|2406718|Q,N
20240207|ACCD|96768|122|203597|B,Q,N
20240207|ACCO|34189|0|79957|Q,N
20240207|ACDC|145630|0|218983|B,Q,N
20240207|ACEL|5969|0|10720|Q,N
20240207|ACES|3866|77|32133|Q,N
20240207|ACET|203134|7625|312556|B,Q,N
20240207|ACGL|225731|293|327371|Q,N
20240207|ACGLN|3426|0|13567|Q,N
20240207|ACGLO|3134|0|7024|Q
20240207|ACHC|48555|1879|140290|B,Q,N
20240207|ACHL|17781|0|118301|Q,N
20240207|ACHR|541678|928|1080012|B,Q,N
