Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20230616|A|172585|200|402801|B,Q,N
20230616|AA|546735|1613|1566155|B,Q,N
20230616|AAA|900|800|917|Q
20230616|AAAU|351282|0|613532|B,Q,N
20230616|AAC|4204|0|8933|Q,N
20230616|AACG|349|0|3749|Q,N
20230616|AACT|56|0|250058|Q
20230616|AADI|18117|0|142160|B,Q,N
20230616|AADR|1|0|689|Q
20230616|AAIC|107960|270|208767|Q,N
20230616|AAICpB|20|0|20|Q
20230616|AAICpC|47|0|47|N
20230616|AAIN|100|0|300|Q
20230616|AAL|4533004|16049|8849383|B,Q,N
20230616|AAMC|1014|0|3527|Q,N
20230616|AAME|7|7|7|N
20230616|AAMpA|8524|0|12351|B,Q,N
20230616|AAMpB|6681|0|12432|Q,N
20230616|AAN|38523|0|110510|Q,N
20230616|AAOI|986128|6198|1586282|B,Q,N
20230616|AAON|44513|145|65874|B,Q,N
20230616|AAP|674178|3936|1155728|B,Q,N
20230616|AAPB|1608|0|4166|Q,N
20230616|AAPD|10785|310|20729|B,Q,N
20230616|AAPL|10268842|72677|19306860|B,Q,N
20230616|AAPU|7969|20|32889|Q,N
20230616|AAT|37033|0|65911|B,Q,N
20230616|AAU|36908|0|115130|Q,N
20230616|AAXJ|26412|13|134528|Q,N
20230616|AB|45876|1049|169702|Q,N
20230616|ABBV|594994|7530|2085127|B,Q,N
20230616|ABC|250331|47|528808|B,Q,N
20230616|ABCB|42902|0|79230|Q,N
20230616|ABCL|839431|200|1144412|Q,N
20230616|ABCM|560177|537|2226870|B,Q,N
20230616|ABEO|16851|0|77855|B,Q,N
20230616|ABEQ|2534|0|3889|Q
20230616|ABEV|2538693|19299|6155018|B,Q,N
20230616|ABG|59704|132|64370|B,Q,N
20230616|ABIO|4934|3|33614|Q,N
20230616|ABM|36116|156|83352|Q,N
20230616|ABNB|904739|11481|1763927|B,Q,N
20230616|ABOS|24454|19|63038|B,Q,N
20230616|ABR|771119|993|1126134|B,Q,N
20230616|ABRpD|758|0|2717|Q,N
20230616|ABRpE|300|0|500|Q
20230616|ABRpF|187|0|1746|Q,N
20230616|ABSI|99718|0|209662|Q,N
20230616|ABST|64861|0|926451|Q,N
20230616|ABT|734358|24361|1456075|B,Q,N
20230616|ABUS|172179|0|482137|Q,N
20230616|ABVC|7575|0|15789|Q,N
20230616|AC|4967|0|8429|Q,N
20230616|ACA|47158|8134|94376|B,Q,N
20230616|ACAB|30|0|384|Q
20230616|ACACU|24|0|29|Q
20230616|ACACW|5000|0|13600|Q
20230616|ACAD|117504|0|227606|B,Q,N
20230616|ACAQ/U|2|0|2|N
20230616|ACB|435666|2139|872926|B,Q,N
20230616|ACBAW|5199|0|5200|Q
20230616|ACCD|59624|61|118809|Q,N
20230616|ACCO|157063|8|314763|Q,N
20230616|ACDC|94272|30|158867|B,Q,N
20230616|ACEL|55623|0|77768|Q,N
20230616|ACER|54525|652|111215|B,Q,N
20230616|ACES|7246|26|12839|Q,N
20230616|ACET|35543|0|68652|Q,N
20230616|ACGL|225403|395|604338|B,Q,N
20230616|ACGLN|5355|0|11976|Q
20230616|ACGLO|3115|41|5865|Q
20230616|ACGN|3418|0|16009|Q,N
