Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20240731|A|345329|0|983268|B,Q,N
20240731|AA|1287649|1608|2214529|B,Q,N
20240731|AAA|1040|0|2271|Q
20240731|AAAU|733705|0|1610322|B,Q,N
20240731|AACG|1392|0|2356|Q,N
20240731|AACI|700|0|3139|Q,N
20240731|AACT|191093|0|420355|Q,N
20240731|AACT/WS|15000|0|20788|Q
20240731|AADI|3761|0|13912|Q
20240731|AADR|82|0|1099|Q
20240731|AAGR|30194|0|63831|Q,N
20240731|AAGRW|73|0|73|Q
20240731|AAL|8110859|67709|17317462|B,Q,N
20240731|AAMC|29114|400|48990|B,Q,N
20240731|AAME|157|0|2524|Q
20240731|AAN|174684|0|217172|Q,N
20240731|AAOI|814308|276|1490058|B,Q,N
20240731|AAON|131861|91|191214|B,Q,N
20240731|AAP|196011|274|346665|B,Q,N
20240731|AAPB|17772|25|29750|Q,N
20240731|AAPD|55174|1800|123483|B,Q,N
20240731|AAPL|5934940|100767|14225244|B,Q,N
20240731|AAPR|485|0|1126|Q
20240731|AAPU|104190|315|259881|B,Q,N
20240731|AAPX|3905|0|8403|Q,N
20240731|AAPY|265|0|530|Q,N
20240731|AAT|83585|0|146910|Q,N
20240731|AAXJ|31981|0|77962|B,Q,N
20240731|AB|51322|580|177458|B,Q,N
20240731|ABAT|93347|1490|275147|B,Q,N
20240731|ABBV|1049016|12711|1963168|B,Q,N
20240731|ABCB|33702|65|86001|Q,N
20240731|ABCL|413454|703|1165682|B,Q,N
20240731|ABCS|500|0|1300|Q
20240731|ABEO|92061|2|152268|Q,N
20240731|ABEQ|780|0|5827|Q,N
20240731|ABEV|19146415|68698|25862671|B,Q,N
20240731|ABG|80989|41|122106|B,Q,N
20240731|ABIO|4492|268|11380|B,Q,N
20240731|ABL|1524|0|3568|B,Q
20240731|ABLLL|50|0|500|Q
20240731|ABLLW|700|0|11800|Q
20240731|ABLV|1314|0|5145|Q
20240731|ABM|57094|0|89727|Q,N
20240731|ABNB|476610|935|1023265|B,Q,N
20240731|ABNY|492|0|800|B,Q,N
20240731|ABOS|77448|509|125959|B,Q,N
20240731|ABR|525117|1743|731248|B,Q,N
20240731|ABRpD|3445|0|12479|B,Q,N
20240731|ABRpE|3185|0|5812|B,Q,N
20240731|ABRpF|3081|0|10532|Q,N
20240731|ABSI|162668|0|286537|Q,N
20240731|ABT|1409857|5380|2456376|B,Q,N
20240731|ABTS|3129|0|7312|Q
20240731|ABUS|112377|461|259894|Q,N
20240731|ABVC|26148|0|56408|Q,N
20240731|ABVE|14907|2042|57313|Q,N
20240731|ABVEW|17850|100|30053|Q,N
20240731|ABVX|10687|0|44214|Q,N
20240731|AC|133|0|475|B,Q
20240731|ACA|31203|53|76614|B,Q,N
20240731|ACAB|1|0|1|Q
20240731|ACAC|110|0|310|Q
20240731|ACAD|145451|131|563490|B,Q,N
20240731|ACB|440317|63190|895913|B,Q,N
20240731|ACCD|77495|606|320326|Q,N
20240731|ACCO|45003|0|121649|Q,N
20240731|ACDC|213119|0|592096|B,Q,N
20240731|ACEL|79382|7524|276140|B,Q,N
20240731|ACES|6021|0|15640|Q,N
20240731|ACET|108615|94|376380|B,Q,N
20240731|ACGL|558684|272|833519|B,Q,N
20240731|ACGLN|2615|0|7925|Q,N
20240731|ACGLO|5601|82|10010|B,Q
20240731|ACHC|138834|0|486460|B,Q,N
20240731|ACHL|4740|0|27788|Q,N
